X,Y,pb_pb,sx_sl,ex_ob,sistema,tipo,subtipo,supramun,sup,cod,nome,parroquia,solo,obt,tipo_ces,ambito_ces,observ,icon_url
-8.00394038748565,42.3898690242984,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02676293805544,42.3832216676088,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99644753838857,42.3750268324565,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00392336622326,42.3895854697341,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00436610643696,42.3888763103255,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0263117294313,42.3831305049287,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00471523722526,42.3887900916443,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00379607661853,42.3883271007978,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02779747957899,42.3824480473913,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99635505997126,42.3849671757253,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99586017768334,42.3858709900393,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02834334732597,42.3823875792425,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.9947760386267,42.3866344040838,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99455323515779,42.3864729023735,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0261572443989,42.3825621495307,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02514173026927,42.3813222025969,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00182441946178,42.3652789939835,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01474551316354,42.3894521049961,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01499628840771,42.388961213629,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0150933279628,42.3881213547208,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01652430315799,42.3875026899369,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00623222514604,42.3515502529534,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99784671869359,42.3770690520775,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00376479568775,42.3886732938277,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99950541130715,42.3756980566273,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02736176801897,42.3837197204202,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99649769595933,42.3748461480954,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99616509456367,42.3852792363174,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02662006949745,42.3830394245652,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
